Run Date,Account,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 09/30/2019,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED INVESCO EXCH TRD SLF IDX FD TR ESG REV (46138J627) (Cash), 46138J627, INVESCO EXCH TRD SLF IDX FD TR ESG REV ,Cash,,,,,,0.21,
 09/30/2019,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED ISHARES TRUST ISHARES CORE HIGH DIVIDEN (HDV) (Cash), HDV, ISHARES TRUST ISHARES CORE HIGH DIVIDEND,Cash,,,,,,0.86,
 09/30/2019,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED ISHARES TR COHEN STEER REIT (ICF) (Cash), ICF, ISHARES TR COHEN STEER REIT,Cash,,,,,,0.69,
 09/30/2019,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED ISHARES MORNINGSTAR LARGE-CAP ETF (JKD) (Cash), JKD, ISHARES MORNINGSTAR LARGE-CAP ETF,Cash,,,,,,0.79,
 09/30/2019,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED INVESCO EXCHANGE TRADED FD TR DWA UTILS (PUI) (Cash), PUI, INVESCO EXCHANGE TRADED FD TR DWA UTILS,Cash,,,,,,0.35,
 09/30/2019,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,,,,,,1.89,
 09/30/2019,UNINCORPORATED ASSN Z40056926, REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,1.89,1,,,,-1.89,
 09/30/2019,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED ISHARES TR CRE U S REIT ETF (USRT) (Cash), USRT, ISHARES TR CRE U S REIT ETF,Cash,,,,,,0.46,
 09/25/2019,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED FIDELITY MSCI REAL ESTATE INDEX ETF (FREL) (Cash), FREL, FIDELITY MSCI REAL ESTATE INDEX ETF,Cash,,,,,,0.68,
 09/23/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES IBOXX INVESTMENT GRADE CORPORAT (LQD) (Cash), LQD, ISHARES IBOXX INVESTMENT GRADE CORPORAT,Cash,4,127.42,,,,-509.66,09/25/2019
 09/18/2019,UNINCORPORATED ASSN Z40056926, YOU SOLD EX-DIV DATE 09/24/19RECORD DATE 09/25/19 ISHARES TR ESG MSCI USA ETF (ESGU) (Cash), ESGU, ISHARES TR ESG MSCI USA ETF,Cash,-1,65.95,,0.01,,65.94,09/20/2019
 09/18/2019,UNINCORPORATED ASSN Z40056926, YOU SOLD ISHARES U S ETF TR TECHNOLOGY (IETC) (Cash), IETC, ISHARES U S ETF TR TECHNOLOGY,Cash,-7,29.67,,0.01,,207.65,09/20/2019
 08/30/2019,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,,,,,,1.52,
 08/30/2019,UNINCORPORATED ASSN Z40056926, REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,1.52,1,,,,-1.52,
 08/28/2019,UNINCORPORATED ASSN Z40056926, YOU SOLD ISHARES TR ESG MSCI USA ETF (ESGU) (Cash), ESGU, ISHARES TR ESG MSCI USA ETF,Cash,-2,63.09,,0.01,,126.17,08/30/2019
 08/28/2019,UNINCORPORATED ASSN Z40056926, YOU SOLD ISHARES U S ETF TR TECHNOLOGY (IETC) (Cash), IETC, ISHARES U S ETF TR TECHNOLOGY,Cash,-4,28.66,,0.01,,114.63,08/30/2019
 08/28/2019,UNINCORPORATED ASSN Z40056926, YOU SOLD JOHN HANCOCK EXCHANGE TRADED MULTIFACTO (JHMM) (Cash), JHMM, JOHN HANCOCK EXCHANGE TRADED MULTIFACTO,Cash,-5,35.15,,0.01,,175.74,08/30/2019
 08/28/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT INVESCO EXCHANGE TRADED FD TR DWA UTILS (PUI) (Cash), PUI, INVESCO EXCHANGE TRADED FD TR DWA UTILS,Cash,2,33.95,,,,-67.89,08/30/2019
 08/13/2019,UNINCORPORATED ASSN Z40056926, YOU SOLD ISHARES TRUST CURRENCY HEDGED MSCI ACWI (HAWX) (Cash), HAWX, ISHARES TRUST CURRENCY HEDGED MSCI ACWI,Cash,-4,25.89,,0.01,,103.55,08/15/2019
 08/13/2019,UNINCORPORATED ASSN Z40056926, YOU SOLD ISHARES TRUST CURRENCY HEDGED MSCI EAFE (HEFA) (Cash), HEFA, ISHARES TRUST CURRENCY HEDGED MSCI EAFE,Cash,-4,28.52,,0.01,,114.09,08/15/2019
 08/09/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES TR ESG MSCI USA ETF (ESGU) (Cash), ESGU, ISHARES TR ESG MSCI USA ETF,Cash,2,64.35,,,,-128.7,08/13/2019
 08/09/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT JOHN HANCOCK EXCHANGE TRADED MULTIFACTO (JHMM) (Cash), JHMM, JOHN HANCOCK EXCHANGE TRADED MULTIFACTO,Cash,4,36.18,,,,-144.73,08/13/2019
 08/05/2019,UNINCORPORATED ASSN Z40056926, YOU SOLD ISHARES CORE S&P SMALL-CAP E (IJR) (Cash), IJR, ISHARES CORE S&P SMALL-CAP E,Cash,-1,75.76,,0.01,,75.75,08/07/2019
 07/31/2019,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,,,,,,2.64,
 07/31/2019,UNINCORPORATED ASSN Z40056926, REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,2.64,1,,,,-2.64,
 07/30/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES U S ETF TR TECHNOLOGY (IETC) (Cash), IETC, ISHARES U S ETF TR TECHNOLOGY,Cash,10,30.47,,,,-304.74,08/01/2019
 07/22/2019,UNINCORPORATED ASSN Z40056926, YOU SOLD ISHARES S&P MIDCAP 400 VALUE ETF (IJJ) (Cash), IJJ, ISHARES S&P MIDCAP 400 VALUE ETF,Cash,-1,158.45,,0.01,,158.44,07/24/2019
 07/22/2019,UNINCORPORATED ASSN Z40056926, YOU BOUGHT JOHN HANCOCK EXCHANGE TRADED MULTIFACTO (JHMM) (Cash), JHMM, JOHN HANCOCK EXCHANGE TRADED MULTIFACTO,Cash,1,36.81,,,,-36.81,07/24/2019
