Run Date,Account,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 03/31/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED ISHARES TRUST ISHARES CORE HIGH DIVIDEN (HDV) (Cash), HDV, ISHARES TRUST ISHARES CORE HIGH DIVIDEND,Cash,,,,,,0.91,
 03/31/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED ISHARES MORNINGSTAR LARGE-CAP ETF (JKD) (Cash), JKD, ISHARES MORNINGSTAR LARGE-CAP ETF,Cash,,,,,,0.77,
 03/31/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,,,,,,0.72,
 03/31/2020,UNINCORPORATED ASSN Z40056926, REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,0.72,1,,,,-0.72,
 03/30/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED BROOKFIELD RENEWABLE PARTNERS PARTNERSH (BEP) (Cash), BEP, BROOKFIELD RENEWABLE PARTNERS PARTNERSH,Cash,,,,,,1.61,
 03/30/2020,UNINCORPORATED ASSN Z40056926, RETURN OF CAPITAL BROOKFIELD RENEWABLE PARTNERS PARTNERSH (BEP) (Cash), BEP, BROOKFIELD RENEWABLE PARTNERS PARTNERSH,Cash,,,,,,0.56,
 03/30/2020,UNINCORPORATED ASSN Z40056926, FOREIGN TAX PAID BROOKFIELD RENEWABLE PARTNERS PARTNERSH (BEP) (Cash), BEP, BROOKFIELD RENEWABLE PARTNERS PARTNERSH,Cash,,,,,,-0.4,
 03/24/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES GOLD TRUST ISHARES ISIN #US4642 (IAU) (Cash), IAU, ISHARES GOLD TRUST ISHARES ISIN #US4642,Cash,4,15.63,,,,-62.51,03/26/2020
 03/24/2020,UNINCORPORATED ASSN Z40056926, YOU SOLD BARCLAYS BANK PLC IPATH B SHRT TERM (VXX) (Cash), VXX, BARCLAYS BANK PLC IPATH B SHRT TERM,Cash,-2,45.23,,0.01,,90.45,03/26/2020
 03/23/2020,UNINCORPORATED ASSN Z40056926, YOU SOLD SAFEHOLD INC COM (SAFE) (Cash), SAFE, SAFEHOLD INC COM,Cash,-1,52.62,,0.01,,52.61,03/25/2020
 03/18/2020,UNINCORPORATED ASSN Z40056926, YOU SOLD ISHARES IBOXX INVESTMENT GRADE CORPORAT (LQD) (Cash), LQD, ISHARES IBOXX INVESTMENT GRADE CORPORAT,Cash,-2,112.1,,0.01,,224.19,03/20/2020
 03/16/2020,UNINCORPORATED ASSN Z40056926, YOU SOLD ISHARES GOLD TRUST ISHARES ISIN #US4642 (IAU) (Cash), IAU, ISHARES GOLD TRUST ISHARES ISIN #US4642,Cash,-14,13.81,,0.01,,193.33,03/18/2020
 03/12/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT BARCLAYS BANK PLC IPATH B SHRT TERM (VXX) (Cash), VXX, BARCLAYS BANK PLC IPATH B SHRT TERM,Cash,2,45.87,,,,-91.74,03/16/2020
 03/10/2020,UNINCORPORATED ASSN Z40056926, YOU SOLD ACTIVISION BLIZZARD INC COM USD0.000001 (ATVI) (Cash), ATVI, ACTIVISION BLIZZARD INC COM USD0.000001,Cash,-1,60.52,,0.01,,60.51,03/12/2020
 03/09/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT AMERICAN WATER WORKS COMPANY INC COM US (AWK) (Cash), AWK, AMERICAN WATER WORKS COMPANY INC COM US,Cash,1,135.22,,,,-135.22,03/11/2020
 03/09/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT SAFEHOLD INC COM (SAFE) (Cash), SAFE, SAFEHOLD INC COM,Cash,1,61.69,,,,-61.69,03/11/2020
 03/09/2020,UNINCORPORATED ASSN Z40056926, YOU SOLD 20069GVPZM ISHARES TR 20 YR TR BD ETF (TLT) (Cash), TLT, ISHARES TR 20 YR TR BD ETF,Cash,-3,171.31,,0.02,,513.92,03/11/2020
 03/09/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ISHARES TR 20 YR TR BD ETF (TLT) (Cash), TLT, ISHARES TR 20 YR TR BD ETF,Cash,1,174.91,,,,-174.91,03/11/2020
 03/09/2020,UNINCORPORATED ASSN Z40056926, YOU SOLD ZOOM VIDEO COMMUNICATIONS INC CL A (ZM) (Cash), ZM, ZOOM VIDEO COMMUNICATIONS INC CL A,Cash,-1,110.95,,0.01,,110.94,03/11/2020
 03/09/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT ZOOM VIDEO COMMUNICATIONS INC CL A (ZM) (Cash), ZM, ZOOM VIDEO COMMUNICATIONS INC CL A,Cash,1,102.79,,,,-102.79,03/11/2020
 03/06/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED ISHARES IBOXX INVESTMENT GRADE CORPORAT (LQD) (Cash), LQD, ISHARES IBOXX INVESTMENT GRADE CORPORAT,Cash,,,,,,0.7,
 03/06/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED ISHARES TR 20 YR TR BD ETF (TLT) (Cash), TLT, ISHARES TR 20 YR TR BD ETF,Cash,,,,,,0.46,
 03/04/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED AMERICAN WATER WORKS COMPANY INC COM US (AWK) (Cash), AWK, AMERICAN WATER WORKS COMPANY INC COM US,Cash,,,,,,1,
 03/02/2020,UNINCORPORATED ASSN Z40056926, YOU SOLD BROOKFIELD RENEWABLE PARTNERS PARTNERSH (BEP) (Cash), BEP, BROOKFIELD RENEWABLE PARTNERS PARTNERSH,Cash,-4,50.3,,0.01,,201.18,03/04/2020
 03/02/2020,UNINCORPORATED ASSN Z40056926, YOU SOLD PENNYMAC MORTGAGE INVESTMENT (PMT) (Cash), PMT, PENNYMAC MORTGAGE INVESTMENT,Cash,-5,21.14,,0.01,,105.68,03/04/2020
 03/02/2020,UNINCORPORATED ASSN Z40056926, YOU SOLD VANGUARD INTL EQUITY INDEX FDS FTSE EMR (VWO) (Cash), VWO, VANGUARD INTL EQUITY INDEX FDS FTSE EMR,Cash,-3,40.43,,0.01,,121.29,03/04/2020
 02/28/2020,UNINCORPORATED ASSN Z40056926, YOU SOLD XDIV UPDATED 12/30/1 AVALONBAY COMMUNITIES INC COM USD0.01 (AVB) (Cash), AVB, AVALONBAY COMMUNITIES INC COM USD0.01,Cash,-1,201.89,,0.01,,201.88,03/03/2020
 02/28/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,,,,,,0.47,
